q_code,e_text
M,"RWY16R/34L关闭(允许从R1,R2,R5,R6滑行道穿越RWY16R/34L)跑道关闭期间,设置跑道临时关闭标志."
I,LOC18LILSCATI使用限制:航向信标前航道21.5海里以外不可用.
A,"下列航路（线）段高度在7,800M(含)以下禁航：1.B208航路（呼和浩特VOR'HET'-NIXAL)段，2.G343航路（土木尔台VOR'TMR'-NIXAL）段，3.W32航路（呼和浩特VOR'HET'-INTIK)段,4.W28航路（RURNU-KEVOB)段.F)FL000G)FL256"
M,关闭下列滑行道:1.T4滑行道以南的Z1滑行道.2.T4滑行道以南的Y1滑行道.3.T4滑行道以南的Y3滑行道.4.T4滑行道与T6滑行道之间的D滑行道.5.T4滑行道与T6滑行道之间的E滑行道.6.G滑行道与Z3滑行道之间的T6滑行道.7.G滑行道与Z3滑行道之间的T5滑行道.8.T4滑行道以南的Z2滑行道.
M,"因维护,关闭以下滑行道或滑行线：1.Q滑行道以东的B滑行道,2.T1、T2滑行线."
M,J滑行道至K滑行道之间的J5滑行道关闭.
F,本场不接收翼展大于等于65米的航空器起降.
M,关闭下列滑行道：1.Q8滑行道.2.B滑行道与Q滑行道之间的T2滑行道.3.Q8滑行道以南的Q滑行道.4.P滑行道.5.P滑行道以东的Q7滑行道.
I,RWY06ILS仅供测试，不可使用，因飞行校验.
M,见下一份报.
M,关闭H1滑行道至K4滑行道之间的A滑行道
M,"关闭下列滑行道或滑行线:1.G,H滑行道;2.P6滑行道至P4滑行道之间的B滑行道(允许从P5滑行道穿越B滑行道);3.B滑行道至L04滑行线之间的B5滑行道(包含B滑行道与B5滑行道之间的交叉道口);4.B滑行道至L04滑行线之间的B6滑行道(包含B滑行道与B6滑行道之间的交叉道口);5.G滑行道至H滑行道之间的R1滑行道(包含G滑行道与R1滑行道,H滑行道与R1滑行道之间的交叉道口);6.G滑行道至H滑行道之间的R6滑行道(包含G滑行道与R6滑行道,H滑行道与R6滑行道之间的交叉道口);"
M,下列滑行道关闭：1.Y2滑行道与Y4滑行道之间的T1滑行道.2.U6滑行道与T2滑行道之间的Y1滑行道.
I,"RWY03/21ILS仅供测试,不可使用,因校飞."
M,"关闭下列滑行道或滑行线:1.W1滑行道至W6滑行道之间的L22滑行道;2.L25,L25A,L26,L26A滑行线;"
M,"关闭下列滑行道或滑行线:1.L22滑行道至T2滑行道之间的E滑行道(允许从E1滑行道,E3滑行道穿越E滑行道);2.E滑行道至F滑行道之间的E2滑行道(包含E滑行道与E2滑行道之间的交叉道口);3.E滑行道至F滑行道之间的R3滑行道(包含E滑行道与R3滑行道之间的交叉道口);"
A,"因临时活动,所有经H18航线中向塘VOR(KHN)-P47,所有高度关闭.原计划航路走浠水VOR(XSH)-W105-PEXEK-H18-青州NDB(DO)(来回)的航班改走:浠水VOR(XSH)-H17-景德镇VOR(JDZ)-H2-青州NDB(DO).原计划航路走OVTAN-H24-向塘VOR(KHN)-H18-青州NDB(DO)(来回)的航班改走:OVTAN-H24-P263-H2-青州NDB(DO).改航听从管制指挥.F)SFCG)UNL"
M,"RWY18L/36R关闭.期间,航空器可由A8滑行道和A9滑行道穿越跑道,禁止由A0滑行道和A1滑行道穿越跑道."
I,"RWY03ILS仅供测试，不提供使用,因场务作业."
I,RWY23ILS不工作，因故障.
M,"RWY18L/36R关闭(允许从H4,H7滑行道穿越RWY18L/36R)."
M,"C滑行道关闭,因施工9975"
M,1.关闭Z15滑行道.2.关闭Z16滑行道.
I,RWY17L/35RILS不工作.
M,"RWY18L/36R不能用于降落,紧急备降除1120"
A,木舒克/唐王城着陆标准调整；义乌起飞标准调整；徐州/观音、西安/咸阳新增施工区；赤峰/玉龙新增航站楼、机坪、机位；长春/龙嘉新增最低监视引导高度图9975
A,"因临时活动,所有经H18航线中向塘VOR(KHN)-P47,所有高度关闭.原计划航路走浠水VOR(XSH)-W105-PEXEK-H18-青州NDB(DO)(来回)的航班改走:浠水VOR(XSH)-H17-景德镇VOR(JDZ)-H2-青州NDB(DO).原计划航路走OVTAN-H24-向塘VOR(KHN)-H18-青州NDB(DO)(来回)的航班改走:OVTAN-H24-P263-H2-青州NDB(DO).改航听从管制指挥.F)SFCG)UNL"
M,关闭下列滑行道:1.G滑行道以东的E6滑行道.2.Y6滑行道与T5滑行道之间的E滑行道.3.G滑行道与Y0滑行道之间的T4滑行道.
M,"关闭下列滑行道或滑行线:1.P4滑行道至Q3滑行道之间的C滑行道;2.P1滑行道至P6滑行道之间的D滑行道(允许从P2滑行道,P4滑行道穿越D滑行道);"
F,"不停航施工,施工区域如下:位于RWY18L/36R中心线以东75米,A滑行道中心线以东43.5米,H1滑行道中心线以北43.5米，H1滑行道中心线以南630米，所围成的矩形区域;关闭区域设置不适用地区标志及障碍灯,施工满足净空高度限制要求."
M,204停机位关闭.
P,连江导航台更新期间，LJG-09A进场程序LJG-DO航段需雷达引导.
M,关闭下列滑行道:1.A滑行道.2.T5滑行道以南的B滑行道.3.T5滑行道以南的C滑行道.
M,"关闭下列滑行道或滑行线:1.B滑行道至L04滑行线之间的B6滑行道(包含L04滑行线与B6滑行道之间的交叉道口);2.W3滑行道至W4滑行道之间的L22滑行道;3.L16,L17,L17A滑行线;4.P5滑行道至P6滑行道之间的L04滑行线;"
N,"三明VOR/DME'XCA'113.7MHZ/CH84X不可使用,因故障."
A,"下列航路（线）段高度在6,600米（不含）以下禁航：1.W220航路（SANID-BAV）段，2.W72航路（VIKON-OMGEL）段，3.W69航路（P526-EGILO）段，4.W64航路（P527-OMGEL）段.F)FL000G)FL216"
M,"L06,L06A,L07滑行线;7.B4滑行道至B3滑行道之间的L04滑行线(包含B4滑行道与L04滑行线之间的交叉道口);"
I,RWY03DME'ICL'CH44X恢复正常使用.
I,"1、DME17R'IKM'CH48X仅供测试,不可使用,因维护.2、DME35L'IBD'CH18X仅供测试,不可使用,因维护."
I,"RWY19RILS不提供使用,因飞行校验."
N,"虹桥VOR/DME'SHA'117.2MHZ/CH119X仅供测试,不可使用,因维护."
F,"本场不接收翼展36米(不含)以上的航空器起降,因施工."
M,关闭M6滑行道与M5滑行道之间的Z3滑行道.
M,关闭下列滑行道:1.Z4滑行道.2.Z5滑行道.3.T5滑行道以北的Z1滑行道.4.T5滑行道以北的Z2滑行道.5.T5滑行道以北的Z3滑行道.6.Z6滑行道.7.Y0滑行道与B滑行道之间的T4滑行道.8.Y0滑行道以东的Z0滑行道.9.T5滑行道以北的Y0滑行道.10.Z7滑行道与T5滑行道之间的C滑行道.
M,下列滑行道关闭：1.D8滑行道与F滑行道之间的S4滑行道.2.M2滑行道与S5滑行道之间的Z3滑行道.
M,关闭B7滑行道至P6滑行道之间的B滑行道
F,"口以北525米的矩形区域。5.距跑道中心线以西233.5米至465米，15号跑道入口以南2,875米，33号跑道入口以北492米的矩形区域。临时围界距跑道中心线最小距离233.5米，距A滑行道中心线最小距离43.5米，不影响A滑行道。"
M,"19号停机位关闭,因施工."
I,"RWY06ILS仅供测试,不可使用,因校飞."
N,RWY14NDB'J'305KHZ限制性使用:1.340度方位线距台6海里以外不可用2.316度方位线距台6海里以外不可用
M,CNLNTM.
M,"关闭下列滑行道或滑行线:1.C1,C2,C3,C4,B7,B8滑行道;2.B滑行道至C滑行道之间的H2,H3,H5,H6,H7滑行道;3.H1滑行道至D9滑行道,D10滑行道至H7滑行道之间的C滑行道;"
I,"DME06'IXS'CH42X仅供测试,不可使用,因校飞."
M,224号机位关闭.
I,"1.DME18L'IPK'CH50X仅供测试,不可使用,因维护.2.DME36R'IWB'CH40X仅供测试,不可使用,因维护."
N,"NDB'GJ'301KHZ不工作,因维护."
A,"下列航路（线）段高度在6,600米（不含）以下禁航：1.W220航路（SANID-包头VOR'BAV'）段，2.W72航路（VIKON-OMGEL）段，3.W69航路（P526-EGILO）段，4.W64航路（P527-OMGEL）段.F)FL000G)FL216"
F,本场不接收翼展大于等于65米的航空器起降.
N,"义乌VOR/DME'YEU'113.2MHZ/CH79X仅供测试,不可使用,因校飞."
I,RWY17R/35LILS不工作.
A,"以远经半塔集NDB'OF'X194IDKOTW178RUXELH28P74至P74以远后加入现行班机航线走向.(六)ZSNT,ZSCG,ZSYA起飞经奔牛NDB'ZJ'G345OLRISR343骆岗VOR'HFE'至骆岗VOR'HFE'(含)以远的班机航线走向为:ZSNT,ZSCG,ZSYA起飞经奔牛NDB'ZJ'G345PIMUSV11DOGVIW545VEMEXW163骆岗VOR'HFE'后加入现行班机航线走向.(七)ZSNT,ZSCG,ZSYA起飞经奔牛NDB'ZJ'G345OLRISR343MADUKW51LEGIVW164VILID至VILID以远的班机航线走向为:ZSNT,ZSCG,ZSYA起飞经奔牛NDB'ZJ'G345PIMUSV11DOGVIW545VEMEXW73MADUKW51LEGIVW164VILID后加入现行班机航线走向.(八)ZSWX起飞经SASANR343骆岗VOR'HFE'至骆岗VOR'HFE'(含)以远的班机航线走向为:ZSWX起飞经SASANW161无锡VOR'VMB'V11DOGVIW545VEMEXW163骆岗VOR'HFE'后加入现行班机航线走向.(九)ZSWX起飞经SASANR343MADUKW51LEGIVW164VILID至VILID以远的班机航线走向为:ZSWX起飞经SASANW161无锡VOR'VMB'V11DOGVIW545VEMEXW73MADUKW51LEGIVW164VILID后加入现行班机航线走向.(十)ZSWX起飞经SASANW161无锡VOR'VMB'V11DOGVIW545VEMEXW73MADUKR343骆岗"
N,桃花VOR/DME'THA'114.7MHZ/CH94X不提供使用，因停机维护.
M,关闭RWY18L/36R至A滑行道之间的H1滑行道.
M,RWY18R/36L关闭.
M,关闭Z2滑行道与C1滑行道之间的D1滑行道.
F,"机场不停航施工,施工区域如下:18号跑道入口以北700米至18号跑道入口以南70米,跑道中心线以西117米至175米所围成的矩形区域,施工区域设有警示标志9975"
M,关闭C滑行道与Z24滑行道之间的Z23滑行道.
M,"RWY03/21关闭,因维护."
I,"DME06'IMI'CH40X仅供测试,不可使用,因校飞."
M,见下一份通告.
A,航路恢复正常.
M,下列滑行道关闭：1.Y4滑行道与K滑行道之间的T4滑行道.2.T3滑行道与K4滑行道之间的J滑行道.
M,"关闭下列滑行道或滑行线:1.B8滑行道至P1滑行道之间的A滑行道(允许从P3滑行道,P4滑行道,P6滑行道穿越A滑行道);2.D滑行道至A滑行道之间的P2滑行道(包含A滑行道与P2滑行道之间的交叉道口);3.D滑行道至A滑行道之间的P5滑行道(包含A滑行道与P5滑行道之间的交叉道口);"
M,"RWY07/25关闭,因维护."
M,64号停机位关闭，因施工.关闭区域设置警示标识.
M,"关闭下列滑行道或滑行线:1.RWY18L/36R至A滑行道,RWY18L/36R至B滑行道之间的H4滑行道;2.H5滑行道至D17滑行道之间的D滑行道;"
M,下列滑行道关闭：1.Z6滑行道与S4滑行道之间的D4滑行道.2.S3滑行道.
M,T5滑行道以南的B滑行道关闭.
I,"RWY16ILS仅供测试,不可使用,因校飞."
M,"RWY06/24关闭,因维护."
M,"RWY17L/35R关闭(允许从P1,P2,P4,P6滑行道穿越RWY17L/35R)跑道关闭期间,设置跑道临时关闭标志."
M,RWY17R/35L关闭.
I,DME34'IIN'CH22Y恢复正常.
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
M,"N滑行道以西的A滑行道关闭,因维护."
I,"DME35L'IXR'CH56X限制性使用：在高度1,200米，距台22.1海里以外不可用."
M,"关闭下列滑行道或滑行线:1.P6滑行道至Q5滑行道之间的C滑行道(包含P6滑行道与C滑行道之间的交叉道口);2.P1滑行道至P6滑行道之间的D滑行道(包含P6滑行道与D滑行道之间的交叉道口;允许从P2滑行道,P4滑行道穿越D滑行道);3.R5滑行道至T4滑行道之间的E滑行道;4.C滑行道至D滑行道之间的P6滑行道(包含C滑行道与P6滑行道,D滑行道与P6滑行道之间的交叉道口);5.E滑行道至F滑行道之间的R4滑行道(包含E滑行道与R4滑行道之间的交叉道口);"
F,不接收备降，因道面修补.
F,"西220米至370米，距跑道中心线以北210米至670米的矩形区域.7.距RWY13入口以西500米至700米，距跑道中心线以北470米至660米的矩形区域.8.距RWY13入口以东118米至122米，距跑道中心线以北230米至471米的矩形区域.9.距RWY13入口以东200米至570米，距跑道中心线以南840米至1,080米的矩形区域.施工区域白天设有红色警示隔离墩，夜间设有红色警示灯."
M,见下一份通告.
M,下列滑行道关闭：1.D8滑行道与F滑行道之间的S4滑行道.2.Z6滑行道与S5滑行道之间的Z3滑行道.
M,RWY11L/29R关闭.
M,关闭103机位.
M,"滑行道A1关闭,因道面维护."
I,RWY24ILS恢复正常使用.
I,RWY36LILS仅供测试，不可使用因校飞.
N,"邳县VOR/DME'DPX'112.4MHZ/CH71X关闭,因停机维护."
M,关闭下列滑行道或滑行线:1.A2滑行道;2.D16滑行道至H5滑行道之间的D滑行道;
F,CNL.
I,"DME03'IJW'CH54X仅供测试,不可使用,因校7378"
M,"关闭421,422,423,431,432,433,434,435,436,437,438号停机位."
M,关闭H滑行道以南的A滑行道，因维护.
I,"RWY05DME'IYN'CH26X仅供测试,不可使用,因校飞."
M,关闭下列滑行道或滑行线:1.位于C滑行道以西的P2滑行道;2.335机位至338机位之间的L15滑行线;
I,CNL
I,RWY27ILS恢复使用.
I,RWY16R/34LILS不工作.
I,"RWY06OM仅供测试,不可使用,因校飞."
I,RWY16RDME'IJS'CH46X不提供使用，因巡检.
M,"关闭下列滑行道或滑行线:1.G,H滑行道;2.G滑行道至H滑行道之间的R1滑行道(包含G滑行道与R1滑行道,H滑行道与R1滑行道之间的交叉道口);3.G滑行道至H滑行道之间的R6滑行道(包含G滑行道与R6滑行道,H滑行道与R6滑行道之间的交叉道口);"
M,RWY01/19恢复正常使用.
M,C1滑行道与Z4滑行道之间的D1滑行道关闭.
M,关闭323机位至324机位之间的L15滑行4848
M,71号停机位关闭.
P,"撤除下列进场程序：1.航图手册ZBHH-3C(EFF2022-4-21)NDBRWY08,2.航图手册ZBHH-3D(EFF2022-4-21)NDBRWY26."
M,关闭下列滑行道：1.RWY17L/35R以西的C1滑行道.2.RWY17L/35R以西的C2滑行道.3.RWY17L/35R以西的C3滑行道.4.RWY17L/35R以西的C4滑行道.5.RWY17L/35R以西的C5滑行道.6.RWY17L/35R以西的C6滑行道.7.RWY17L/35R以西的C7滑行道.8.RWY17L/35R以西的C8滑行道.
M,Z4滑行道以南的D5滑行道关闭.
M,"滑行道C关闭,因例行维护."
I,"DME15'IOO'CH36X仅供测试,不提供使用."
M,见下一份报.
M,CNL.
M,RWY18L/36R关闭(允许从H4滑行道穿越RWY18L/36R).
M,"RWY18L/36R不能用于降落,（国内备降、国际地区紧急备降除外9989"
M,"RWY17L/35R关闭.期间,航空器可由C2滑行道,C6滑行道穿越跑道,禁止由C3滑行道,C4滑行道，C5滑行道,C7滑行道穿越跑道."
M,"关闭下列滑行道或滑行线:1.B滑行道至E滑行道之间的L22滑行道(允许从W1滑行道,W2滑行道,W3滑行道,W4滑行道,W5滑行道,W6滑行道穿越L22滑行道);2.L03,L03A滑行线;3.E1滑行道至R3滑行道之间的L24滑行线;"
M,关闭D5滑行道至D15滑行道之间的D滑行道
N,嵊州VOR/DME'SHZ'113.4MHZ/CH81X不提供使用.
M,"RWY17L/35R关闭(允许从P1,P2,P5,P6滑行道穿越RWY17L/35R)跑道关闭期间,设置跑道临时关闭标志."
N,桃花VOR/DME'THA'114.7MHZ/CH94X不提供使用，因维护.
M,6号停机位关闭，因施工.关闭区域设置警示标识.
M,"关闭下列滑行道或滑行线:1.P1滑行道至P6滑行道之间的C滑行道(包含P6滑行道与C滑行道之间的交叉道口;允许从P2滑行道,P4滑行道穿越C滑行道);2.P1滑行道至P6滑行道之间的D滑行道(包含P6滑行道与D滑行道之间的交叉道口;允许从P2滑行道,P4滑行道穿越D滑行道);3.C滑行道至D滑行道之间的P6滑行道(包含C滑行道与P6滑行道,D滑行道与P6滑行道之间的交叉道口);"
M,T4滑行道与J滑行道之间的Y4滑行道关闭.
I,"1、DME17R'IKM'CH48X仅供测试,不可使用,因维护.2、DME35L'IBD'CH18X仅供测试,不可使用,因维护."
M,下列滑行道关闭：1.F0滑行道与F1滑行道之间的Z0滑行道.2.Z0滑行道与Z3滑行道之间的F0滑行道.
M,103号停机位关闭.
F,"机场不停航施工,施工区域如下:03号跑道入口以北935米至1,145米,跑道中心线以东380米至414米的矩形区域,施工区域四周设置围挡,夜间有红色警示灯."
I,"DME24'IHZ'CH52X仅供测试,不可使用,因校飞."
I,"DME36R'IWB'CH40X仅供测试,不可使用,因维护."
X,报告点P178；调整H79、A343航线部分航段数据。机场部分北京/首都、北京/大兴机场进近频率调整；石家庄/正定、呼和浩特/白塔、唐山/三女河机场磁差调整；延吉/朝阳川机场新增停机位；福州/长乐机场机坪扩建；杭州/萧山机场新增4号航站楼及相关机坪、机位；常德/桃花源机场三峡台迁建调整相关标准仪表进、离场图；长沙/黄花机场停机位置图修订；三亚/凤凰机场机场图、停机位置图修订；成都/双流机场新增停机位、滑行道PCN值调整
F,RWY16R/34LRVR设备B恢复正常使用9975
F,"本场不停航施工,施工区域如下:跑道中心线以南583米至跑道中心线以南623米,23号跑道内移入口以西281米至23号跑道内移入口以西316米的矩形区域内.施工区域设置警示标志."
M,关闭A滑行道.
M,265号停机位关闭.
M,"RWY16R/34L关闭(12月26日,允许从R2,R3,R5,R6滑行道穿越RWY16R/34L;12月29日,允许从R1,R3,R4,R6滑行道穿越RWY16R/34L;)跑道关闭期间,设置跑道临时关闭标志."
M,关闭H1滑行道至K4滑行道之间的A滑行道
I,DME03'ICC'CH44X不工作，因扩建施工.
M,下列滑行道关闭:1.D4滑行道与D6滑行道之间的Z4滑行道.2.M滑行道以南的D5滑行道.
M,关闭F4滑行道与F7滑行道之间的F滑行道.
M,RWY17R/35L关闭.
M,关闭M4滑行4848
I,"DME35L'IBD'CH18X仅供测试,不可使用,因校飞."
M,关闭M0滑行道以北的Z3滑行道.
M,关闭下列滑行道或滑行线:1.L15滑行线至C滑行道之间的Q4滑行道;2.321机位至325机位之间的L15滑行线;
I,"RWY08ILS仅供测试,不提供使用,因校飞."
I,"RWY21ILS不工作,因设备更新."
N,"黄城VOR/DME'HCH'116.1MHZ/CH108X仅供测试,不可使用,因校飞."
M,关闭321机位至323机位之间的L15滑行4848
M,滑行道A1与A2之间的滑行道A关闭.
N,黄山VOR/DME'TXN'116.1MHZ/CH108X恢复正常使用.
M,B滑行道至Q3滑行道之间的Q滑行道关闭，因维护.
M,CNL.
M,关闭J2滑行道与J滑行道之间的T6滑行道.
M,关闭下列滑行道或滑行线:1.R5滑行道至T4滑行道之间的E滑行道;2.E滑行道至F滑行道之间的R4滑行道(包含E滑行道与R4滑行道之间的交叉道口);
I,"RWY01ILS仅供测试,不可使用,因校飞."
M,关闭K2滑行道与T1滑行道之间的K滑行道.
I,LOC18LILSCATI使用限制:航向信标前航道21.5海里以外不可用.
M,RWY01/19关闭.
M,"RWY16R/34L关闭(允许从R1,R2,R4,R5滑行道穿越RWY16R/34L)跑道关闭期间,设置跑道临时关闭标志."
X,东河、大同/云冈、呼和浩特/白塔、满洲里/西郊、秦皇岛/北戴河、唐山/三女河、通辽机场增加进近图复飞备注；锡林浩特机场新增障碍物；乌兰察布/集宁、乌兰浩特/依勒力特、忻州/五台山机场程序调整；运城/张孝机场磁差、D-ATIS、飞行程序调整；长春/龙嘉机场新增放行许可发布席；大连/周水子机场控制障碍物调整、LOC28迁址；鸡西/兴凯湖机场跑道延长、飞行程序调整；宁波/栎社机场新增离场方向；厦门/高崎机场新增T4指廊；盐城/
N,蓬莱VOR'YCS'116.4MHZ限制性使用如下：VOR346度径向线等待程序24.5海里至23.0海里之间不可用.
M,"2号至5号停机位之间的E滑行道关闭,因日常维护."
M,"关闭下列滑行道或滑行线:1.B8滑行道至P1滑行道之间的A滑行道(允许从P2滑行道,P4滑行道,P5滑行道穿越A滑行道);2.D滑行道至A滑行道之间的P3滑行道(包含A滑行道与P3滑行道之间的交叉道口);3.D滑行道至A滑行道之间的P6滑行道(包含A滑行道与P6滑行道之间的交叉道口);"
I,"RWY23LOC仅供测试，不提供使用,因维护."
M,"C1滑行道仅供翼展36米（含）以下的航空器使用,因施工."
I,"RWY18LOM不提供使用,因设备停机维护."
M,"RWY07/25关闭,因维护."
I,RWY02ILS恢复正常使用.
I,"RWY34RDME'IKD'CH52X仅供测试,不可使用,因校飞."
M,"关闭下列滑行道或滑行线:1.B8滑行道至P1滑行道之间的A滑行道(包含P1滑行道与A滑行道之间的交叉道口;允许从P2滑行道,P3滑行道,P4滑行道,P6滑行道穿越A滑行道);2.D滑行道至A滑行道之间的P1滑行道(包含A滑行道与P1滑行道之间的交叉道口);3.D滑行道至A滑行道之间的P5滑行道(包含A滑行道与P5滑行道之间的交叉道口);"
M,"RWY06/24关闭,因维护."
M,关闭C滑行道与Z3滑行道之间的T6滑行道.
I,"IM06仅供测试,不可使用,因校飞."
M,CNL
M,关闭下列滑行道：1.E2滑行道以南的G滑行道.2.E2滑行道以南的E滑行道.3.E2滑行道与T4滑行道之间的G滑行道.4.E0滑行道.5.E1滑行道.
M,下列滑行道关闭：1.U5滑行道以南的Y2滑行道.2.G0滑行道.3.G1滑行道.4.G2滑行道.
M,关闭Z4滑行道以南的D5滑行道.
M,关闭下列滑行道：1.H3滑行道.2.H4滑行道.3.H5滑行道.4.H6滑行道.5.H10滑行道.6.H11滑行道.7.H滑行道.8.T滑行道.9.T3滑行道以南的J滑行道.10.RWY17L/35R以西的C1滑行道.11.RWY17L/35R以西的C2滑行道.12.RWY17L/35R以西的C3滑行道.13.RWY17L/35R以西的C4滑行道.14.RWY17L/35R以西的C5滑行道.15.RWY17L/35R以西的C6滑行道.16.RWY17L/35R以西的C7滑行道.17.RWY17L/35R以西的C8滑行道.
P,"青州导航台更新期间,DO-11D/12D离场程序LO207（R059度/D21.4LCG）-DO航段需雷达引导."
M,RWY01/19关闭.
M,RWY11L/29R关闭.
M,"RWY03/21关闭,因施工."
N,阜阳VOR/DME'FYG'112.9MHZ/CH76X恢复正常使用.
M,"RWY18L/36R关闭(允许从H1,H7滑行道穿越RWY18L/36R)."
I,"RWY07ILS不工作,因施工."
M,"关闭下列滑行道或滑行线:1.E7滑行道至R1滑行道之间的F滑行道(允许从R3滑行道,R4滑行道,R5滑行道穿越F滑行道);2.F滑行道至G滑行道之间的R2滑行道(包含F滑行道与R2滑行道之间的交叉道口);3.F滑行道至G滑行道之间的R6滑行道(包含F滑行道与R6滑行道之间的交叉道口);"
M,RWY03/21恢复正常.
M,下列滑行道关闭:1.C滑行道与D7滑行道之间的S5滑行道.2.S4滑行道与Z10滑行道之间的D2滑行道.
M,下列滑行道关闭：1.Y1滑行道与Y5滑行道之间的T1滑行道.2.K2滑行道与T2滑行道之间的Y4滑行道.
M,"关闭下列滑行道或滑行线:1.L22滑行道至T2滑行道之间的B滑行道(允许从P2滑行道,P3滑行道穿越B滑行道);2.B滑行道至L02滑行线之间的B2滑行道(包含B滑行道与B2滑行道之间的交叉道口);"
I,"RWY01ILS仅供测试,不可使用,因校飞."
M,"关闭701,702,703,704,705号停机位."
N,DME'SJW'CH124X限制性使用：测距仪329度径向进近程序，距台5.5海里至8.2海里范围内不可用.
M,RWY11L/29R关闭.
